Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,154.125,156.82501220703125,152.08876037597656,156.10501098632812,136.39959716796875,3409626
2010-01-05,156.66751098632812,159.3000030517578,156.0487518310547,158.56875610351562,138.55230712890625,4979701
2010-01-06,158.85000610351562,159.75,154.57501220703125,155.3625030517578,135.7508087158203,4575030
2010-01-07,156.375,156.4875030517578,151.875,152.60626220703125,133.34246826171875,4582648
2010-01-08,152.77500915527344,153.0,149.85000610351562,150.31126403808594,131.33721923828125,2856839
2010-01-11,150.07501220703125,153.2475128173828,147.65625,148.81500244140625,130.0298309326172,5677888
2010-01-12,151.20001220703125,158.35501098632812,151.20001220703125,156.10501098632812,136.39959716796875,10394906
2010-01-13,156.81375122070312,162.00001525878906,154.90126037597656,161.010009765625,140.6854248046875,11283590
2010-01-14,161.9550018310547,169.35751342773438,159.34500122070312,166.7475128173828,145.69866943359375,19480194
2010-01-15,162.6750030517578,167.98500061035156,162.45001220703125,165.5775146484375,144.6763458251953,14677754
2010-01-18,165.37501525878906,169.02000427246094,164.2725067138672,168.18751525878906,146.95687866210938,7999337
2010-01-19,170.06625366210938,170.06625366210938,164.2725067138672,166.26376342773438,145.27597045898438,4098559
2010-01-20,168.75001525878906,168.75001525878906,162.3487548828125,163.4737548828125,142.83816528320312,10419506
2010-01-21,163.8000030517578,166.27500915527344,158.8725128173828,159.62625122070312,139.47634887695312,8571812
2010-01-22,157.5,160.87501525878906,156.49876403808594,157.51126098632812,137.6283416748047,7634159
2010-01-25,156.375,158.40000915527344,154.3050079345703,156.3975067138672,136.65518188476562,3993257
2010-01-27,155.25,155.29501342773438,146.30625915527344,147.4650115966797,128.85025024414062,8215208
2010-01-28,151.65000915527344,154.98001098632812,147.4875030517578,151.52626037597656,132.39883422851562,6807061
2010-01-29,149.625,149.85000610351562,142.08750915527344,145.78875732421875,127.38555145263672,9824506
2010-02-01,144.84375,151.80751037597656,142.447509765625,150.3675079345703,131.38633728027344,5440866
