,SIEMENS.NS,SUNPHARMA.NS,DRREDDY.NS,GRASIM.NS,GAIL.NS,ONGC.NS,ULTRACEMCO.NS,HDFCBANK.NS,RELIANCE.NS,INDUSINDBK.NS,WIPRO.NS,VEDL.NS,EICHERMOT.NS,AMBUJACEM.NS,ICICIBANK.NS,INFY.NS,ASIANPAINT.NS,LT.NS,BRITANNIA.NS,BHARTIARTL.NS,HINDUNILVR.NS,MARUTI.NS,HEROMOTOCO.NS,TITAN.NS,SBIN.NS,TCS.NS,NESTLEIND.NS,M&M.NS,TATASTEEL.NS,JSWSTEEL.NS,DIVISLAB.NS,BOSCHLTD.NS,NTPC.NS,BPCL.NS,ITC.NS,IOC.NS,KOTAKBANK.NS
WIPRO.NS,0.3066192116871396,0.2461962150688586,0.07308240852699255,0.07281838387588463,0.07864359971056298,0.2730207988832077,0.26951683341843646,0.34686113636352006,0.13743516082112894,0.2650268349260626,1.0,0.27846884887593254,0.03226689503082809,0.30907135573629396,0.36469349739084733,0.5873795385858928,0.1901402427298319,0.28756355630985814,0.16008711755051314,0.30039108036540657,0.2643936732154982,0.30449779881860195,0.255442490391684,0.27151275924604706,0.2962761912676512,0.4399333024755612,0.11045287355188373,0.2760814780798738,0.304515620619347,0.30549347239114155,0.26997819281854485,0.17550716842558778,0.2822215696965049,0.05202770531176217,0.2897830022223748,0.0501785523907037,0.29508919117528026
VEDL.NS,0.35738861470861955,0.20448882164567114,0.056059599419486766,0.0833005819510355,0.10053922149203302,0.32864765059799367,0.31417388897729104,0.3259316245622063,0.14493484418920366,0.32243305860234667,0.27846884887593254,1.0,0.04408425541727724,0.3242758551177487,0.4005360982941704,0.2608492407871805,0.19895549325395936,0.3271532244036137,0.17546656212207498,0.2905637558336034,0.1930257493546236,0.30557587423930493,0.26271804434620216,0.3005759246095573,0.3976838309748162,0.19156305452291786,0.10232041038046487,0.2655169349700017,0.4744283151935017,0.49029970563781533,0.26460485266019557,0.23160330317878608,0.34927280310122677,0.06686054249647806,0.2761148834347932,0.07216258641482605,0.3422409343279531
EICHERMOT.NS,0.05431026633310881,0.026660841640136785,0.9447850248664651,0.966253537632358,0.944877625739725,0.3693743401355955,0.05282739668150131,0.052446318181864994,0.9257319500911801,0.04446472207095959,0.03226689503082809,0.04408425541727724,1.0,0.050449590654656325,0.12010451606185077,0.02972104981560259,0.0428236795211696,0.042807839528937845,0.03776160690507814,0.11648367863446937,0.03782968312853564,0.060814915830142625,0.04517407781143085,0.048154076051821995,0.054787911529684666,0.6322301753021803,0.01723805241164465,0.6034754376958992,0.047924689570630334,0.060874142298826595,0.04833582250442357,0.05464152796051092,0.04947516945580071,0.9491629742181056,0.06065074835235892,0.9564246984847632,0.024715977125650695
AMBUJACEM.NS,0.3696193529081976,0.2188252856465746,0.06041928243561416,0.12279879962710442,0.09850568628208127,0.27261797348435723,0.5320841334274926,0.3492869306064096,0.15427982976831253,0.3405463375757746,0.30907135573629396,0.3242758551177487,0.050449590654656325,1.0,0.40682273482608683,0.25323005489872125,0.2651137187149622,0.32477165842141875,0.19471315357342472,0.3139441593609722,0.2757305931971125,0.3651735836695049,0.297733716187286,0.2878728256824456,0.4056713179616592,0.2045759833364101,0.13431475230462805,0.31070563540466856,0.35446308447397534,0.3684864371646022,0.2626484824741421,0.2326527586570922,0.3469280826643593,0.08720932187687423,0.28938513326404863,0.0778610650625374,0.3439471738489632
ICICIBANK.NS,0.44892340306885414,0.24087786619980991,0.13268968757588961,0.16482694959450422,0.17393862073454006,0.4044903235847681,0.39615622328832256,0.6116631499434539,0.25181330115658257,0.494686156389941,0.36469349739084733,0.4005360982941704,0.12010451606185077,0.40682273482608683,1.0,0.3431567528107019,0.26190342912893566,0.4773665072705632,0.19977320872410287,0.40440300748852154,0.2795024743818513,0.43729233811621665,0.3165123148453488,0.3623263972584877,0.6622422953466806,0.31278559618533797,0.11101662351113432,0.4098049109806874,0.4441896224079292,0.4682791656354396,0.3366696268880814,0.25995758389029605,0.3998881251800194,0.15194348161969717,0.3380836693510581,0.1469025032634758,0.5348396987471334
INFY.NS,0.2596136533442736,0.21140799467646168,0.06511274228220527,0.05828107260074853,0.06424735825517634,0.2162846377053687,0.23528125250854526,0.3369170298504012,0.1247039631216346,0.24481949894212315,0.5873795385858928,0.2608492407871805,0.02972104981560259,0.25323005489872125,0.3431567528107019,1.0,0.1658509864440277,0.2699390288547284,0.1597784631511887,0.2709686032526513,0.22183051410257723,0.254257478626154,0.23380934270568132,0.25015917454231107,0.2604977562170397,0.45572882703953127,0.12348546170724366,0.22368831272259493,0.2725342256896223,0.2830448014350993,0.2523084189019679,0.16669510696709927,0.24387195447758292,0.04112214596638488,0.23843347637391293,0.039992760506553884,0.28462773069231556
ASIANPAINT.NS,0.26269357681168654,0.17488443485555574,0.048388621303615986,0.06667973856347238,0.05589189092988183,0.16636466548980833,0.3032696875420495,0.26672430136484865,0.09900574472189035,0.2541959808835983,0.1901402427298319,0.19895549325395936,0.0428236795211696,0.2651137187149622,0.26190342912893566,0.1658509864440277,1.0,0.23204519804782758,0.2332263696191751,0.1994432832188679,0.26130509503688676,0.29899239549290585,0.22292588868996457,0.2526623550545582,0.23946718614639176,0.1288339815286107,0.1912861598215656,0.19873149372032312,0.23222603068242254,0.2510760856076503,0.21437751847927194,0.218558331354784,0.17476708578484426,0.06384306728513318,0.2131211450974623,0.05781014723432264,0.260976385087076
LT.NS,0.4218880216194717,0.19150627357306826,0.04834556217182382,0.08379869873395597,0.08738001952923823,0.3003347881053935,0.33770564270524095,0.4271721420970441,0.1420336021520773,0.4005505510746804,0.28756355630985814,0.3271532244036137,0.042807839528937845,0.32477165842141875,0.4773665072705632,0.2699390288547284,0.23204519804782758,1.0,0.19511247538894225,0.29116884896827977,0.21995832172964147,0.3380161990196755,0.2726871066113611,0.29373028848684835,0.45392466235834456,0.1941914850740061,0.08647886981398414,0.31002560215054986,0.35484941492386884,0.3610269952042776,0.272712363494617,0.23051831215269075,0.33324063553326566,0.07106352569905526,0.26423475678742464,0.06758648183602994,0.4274097423542398
BRITANNIA.NS,0.23120683919777246,0.14820742054461009,0.047442197485731016,0.04924451818828246,0.044626675405465124,0.13502084785968457,0.22423039383081017,0.19197964181834737,0.08292325594560869,0.23070131359676346,0.16008711755051314,0.17546656212207498,0.03776160690507814,0.19471315357342472,0.19977320872410287,0.1597784631511887,0.2332263696191751,0.19511247538894225,1.0,0.15495491210557627,0.2629128441098036,0.23334957378030566,0.2059932648998205,0.22047454298652577,0.2111986110183944,0.11474690152956615,0.2039546025478506,0.15585850676879695,0.19495161361427257,0.21290605534788262,0.1781343278462272,0.20637369575427486,0.17393010502860815,0.04423246112837362,0.1459836000328169,0.042564124768279,0.20982911168781415
BHARTIARTL.NS,0.3170604546614526,0.23307133078015868,0.13088226541004128,0.16068305032993133,0.16213237358005309,0.3153282037965489,0.2932555352823953,0.3572313114555761,0.21891598473184273,0.29442335577958,0.30039108036540657,0.2905637558336034,0.11648367863446937,0.3139441593609722,0.40440300748852154,0.2709686032526513,0.1994432832188679,0.29116884896827977,0.15495491210557627,1.0,0.2297558146709812,0.3101733088319718,0.27311100232172086,0.2518930298127926,0.35003105204784496,0.2668363671051423,0.10166353650084853,0.3137316449142011,0.28936507221248586,0.31188958299549957,0.25249364298332,0.16811302187005758,0.3094324328155172,0.15145640649231037,0.2661548583391279,0.13784464440110195,0.29661743377651145
