Ticker,Sharpe Ratio,Sortino Ratio
SIEMENS.NS,0.034166722266018086,0.05023295120487093
SUNPHARMA.NS,0.03490067421034409,0.051387389407137586
DRREDDY.NS,0.02034233646680183,0.06173770451619526
GRASIM.NS,0.018376278875232126,0.06894400130863387
GAIL.NS,0.017172699637357756,0.053673472825225374
ONGC.NS,0.014643298598302918,0.020949329728560166
ULTRACEMCO.NS,0.03462819247351234,0.052569181966720134
HDFCBANK.NS,0.04171180542159837,0.06259093510986066
RELIANCE.NS,0.02548225786474313,0.06601819430575377
INDUSINDBK.NS,0.03161331301463751,0.04590522715784388
WIPRO.NS,0.01934084171411079,0.027823296450316354
VEDL.NS,0.0342428035914674,0.05094588572189731
EICHERMOT.NS,0.02234342495077038,0.12560995896825136
AMBUJACEM.NS,0.02923753736904577,0.04424810137316801
ICICIBANK.NS,0.02992522289103151,0.04427046842860891
INFY.NS,0.03204979782350422,0.044022214781941064
ASIANPAINT.NS,0.059263106230875426,0.08625693409168234
LT.NS,0.03188185998857103,0.04952566488519827
BRITANNIA.NS,0.050771059964687996,0.08134118499882045
BHARTIARTL.NS,0.023631388499646005,0.0373568548385111
HINDUNILVR.NS,0.039483256106722306,0.06367125534067612
MARUTI.NS,0.03358342095629075,0.04947372213265809
HEROMOTOCO.NS,0.02333926457236185,0.036176190928354106
TITAN.NS,0.055282484820247425,0.08312156321307934
SBIN.NS,0.0273204334930566,0.04230673637520427
TCS.NS,0.03242310868612333,0.048901596941079484
NESTLEIND.NS,0.01770842320763167,0.016383944909874198
M&M.NS,0.030648306079944974,0.04773952099801726
TATASTEEL.NS,0.025777790317893873,0.04275750976330024
JSWSTEEL.NS,0.03258985250457032,0.04837373698474582
DIVISLAB.NS,0.043459845748084105,0.06153678575811471
BOSCHLTD.NS,0.026678453087484465,0.0427380533215239
NTPC.NS,0.01571989239996744,0.02332760408928899
BPCL.NS,0.018714824958475346,0.06459283790486367
ITC.NS,0.03341330172993918,0.04833941854598937
IOC.NS,0.01607719908331149,0.05612258699565298
KOTAKBANK.NS,0.042312214513727874,0.06054012205502055
