Ticker,Avg RSI,Avg ATR,Avg ADX,Avg MACD,Avg Stochastic_K,Avg Stochastic_D,Volatility,P/E Ratio,P/B Ratio,ROE,ROA,Earnings Growth,Revenue Growth,Debt-to-Equity,Sharpe Ratio,Sortino Ratio,Final Score
INFY.NS,53.07337592518275,96.51595756968752,24.974380776752355,2.192017603966606,-400.4489963390737,-400.4943345000926,0.01902167492436932,27.4145,735.2802,0.31404,0.15253,0.042,0.037,9.697,0.0320497978235042,0.044022214781941,7.830315313166071
HDFCBANK.NS,54.01084924741607,37.2291103055696,23.842933527411006,2.3985182834918546,-109.83395672132954,-109.86779529257615,0.01856582389029671,19.13878,2.8464592,0.1153,0.01712,0.39,0.63,,0.0417118054215983,0.0625909351098606,7.810963505558675
TATASTEEL.NS,51.480094882040405,31.80021041149415,26.332537093971744,0.14906161461122175,-822.4285195953431,-822.5979808584439,0.03134585923050361,60.19457,1.8043839,0.030380001,0.03522,,-0.032,109.814,0.0257777903178938,0.0427575097633002,7.805570422143162
M&M.NS,52.40553417299436,47.33838983303853,25.302389985803213,1.8582484887766029,-118.01620127501127,-118.0567979355892,0.02823519862874199,31.334356,5.0093646,0.17017001,0.06309,0.349,0.102,145.663,0.0306483060799449,0.0477395209980172,7.7954107064818805
ULTRACEMCO.NS,52.82689214368526,123.87777062226637,24.676075285436216,10.415587024231634,-19.040649036102852,-19.058556814069252,0.02046742106138711,52.833855,5.4596753,0.11017,0.05631,-0.36,-0.024,27.025,0.0346281924735123,0.0525691819667201,7.775691811271006
RELIANCE.NS,52.96439666618175,26.613773595673557,24.50292875311646,1.828834889376189,-118.97900604749567,-119.0577059362209,0.055969667265880714,24.907063,2.170888,0.08479,0.03875,-0.048,-0.002,37.464,0.0254822578647431,0.0660181943057537,7.76857738566823
SUNPHARMA.NS,52.970080782115915,32.8155172036191,24.245118784035707,1.492473337306503,-78.05298763462655,-78.06339419484979,0.019801768602533486,36.86794,6.6385407,0.16771,0.08541001,0.283,0.09,3.707,0.034900674210344,0.0513873894071375,7.746981590219907
WIPRO.NS,51.62390747916234,14.454725026730292,25.482957915681585,0.5177288470979623,-75.64967900611707,-75.69656614131885,0.02003920428420156,26.548223,2.1840506,0.15557,0.076469995,0.214,-0.01,23.511,0.0193408417141107,0.0278232964503163,7.73612442952097
DRREDDY.NS,52.27568326691171,85.54712548080495,24.75748008026427,1.2588644009396472,-376.94338882067865,-377.0054050672505,0.06393598464412134,19.033384,3.637899,0.19273001,0.104040004,-0.153,0.165,15.694,0.0203423364668018,0.0617377045161952,7.724364546718183
VEDL.NS,51.589932619804756,121.79781262134202,24.87466768038092,0.3409532517853538,-710.6322235973298,-710.7122663086328,0.030817268115370073,13.122388,5.3077044,0.35532,0.08351,,-0.036,168.974,0.0342428035914674,0.0509458857218973,7.670820113672028
